id,title,cell_country,study_country,in_scope,quote_grounded,verified
https://openalex.org/W7116043374,"Effects of lethal and non‐lethal wolf ( <i>Canis lupus</i> ) management measures on livestock depredation in the Golan Heights, Israel",EG,other country,FALSE,TRUE,TRUE
https://openalex.org/W4211231553,Bibliography,EG,not stated,FALSE,NA,TRUE
https://openalex.org/W4413330259,Evaluating Feral Swine Eradication and Control Pilot Program Impact on Crop Indemnities,MA,other country,FALSE,NA,TRUE
https://openalex.org/W4386046441,Behavioral adjustments of endangered Barbary macaques (<i>Macaca sylvanus</i>) living at the edge of an agricultural landscape in Morocco,MA,Morocco,TRUE,NA,TRUE
https://openalex.org/W2796022831,"Race, then and now: 1918 revisited",LY,multiple North African,TRUE,FALSE,TRUE
https://openalex.org/W2018069372,Effect of type of bait on pelagic longline fishery–loggerhead turtle interactions in the Gulf of Gabes (Tunisia),TN,Tunisia,TRUE,TRUE,TRUE
https://openalex.org/W1757226906,Annual survival probabilities of juvenile loggerhead sea turtles indicate high anthropogenic impact on Mediterranean populations,TN,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W1898712661,Vulnerabilities and fisheries impacts: the uncertain future of manta and devil rays,EG,not stated,FALSE,NA,TRUE
https://openalex.org/W2981509526,"A stranding record of the short‐beaked common dolphin (<scp><i>Delphinus delphis</i></scp>) in Algerian West Coast, during 2008–2012",DZ,Algeria,TRUE,TRUE,TRUE
https://openalex.org/W2991073745,"Effects of fishing practice changes on pelagic shark longline captures in the Gulf of Gabes, Tunisia",TN,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W3133867487,The conservation of the endangered Mediterranean common dolphin (<scp><i>Delphinus delphis</i></scp>): Current knowledge and research priorities,TN,multiple North African,TRUE,FALSE,TRUE
https://openalex.org/W3215690827,"Strongly structured populations and reproductive habitat fragmentation increase the vulnerability of the Mediterranean starry ray<scp><i>Raja asterias</i></scp>(Elasmobranchii, Rajidae)",TN,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W4387895721,"A review of reported effects of pelagic longline fishing gear configurations on target, bycatch and vulnerable species",REGION,not stated,FALSE,NA,TRUE
https://openalex.org/W4390771181,Identifying the foraging grounds of the new loggerhead turtle nesters in the western Mediterranean,TN,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W7125115970,The Potential Re‐Colonisation of Mediterranean Monk Seals: Evaluating Threats and Management Options,MA,other country,FALSE,NA,TRUE
https://openalex.org/W7167666335,"Assessing the Vulnerability and the Stock Status of the Bluntnose Sixgill Shark, <scp> <i>Hexanchus griseus</i> </scp> , in North‐Eastern Tunisia (Central Mediterranean) Using Data‐Limited Models",TN,Tunisia,TRUE,TRUE,TRUE
https://openalex.org/W2027324331,Harnessing the Hallowed Hollows of the Head: The Mysterious World of the Paranasal Sinuses,EG,not stated,FALSE,NA,TRUE
https://openalex.org/W2908415939,"History of Ecological Sciences, Part 61C: Marine Biogeography, 1690s–1940s",EG,multiple North African,TRUE,FALSE,TRUE
https://openalex.org/W4403764659,Contrasting effects of shooting disturbance on the movement and behavior of sympatric wildfowl species,EG,other country,FALSE,TRUE,TRUE
https://openalex.org/W2969873458,Population ecology and the management of whale watching operations on a data‐deficient dolphin population,EG,Egypt,TRUE,TRUE,TRUE
https://openalex.org/W3016946123,Shelter availability and human attitudes as drivers of rock hyrax (<i>Procavia capensis</i>) expansion along a rural–urban gradient,REGION,other country,FALSE,TRUE,TRUE
https://openalex.org/W4412190053,"Out of Sight, out of Mind? Evidence of Human‐Induced Threats in the Elusive <scp> <i>Ziphius cavirostris</i> </scp> of the Mediterranean Sea",MA,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W4413922878,"Nile Crocodiles in Lake Nasser, Egypt, Are Found Close to Fishermen's Camps, Indicating Potential Conflicts",EG,Egypt,TRUE,TRUE,TRUE
https://openalex.org/W7124748218,Local Ecological Knowledge and Cultural Perceptions of Snakes in Sudan,EG,other country,FALSE,TRUE,TRUE
https://openalex.org/W4285736444,"Living with a large predator: Assessing the root causes of Human–brown bear conflict and their spatial patterns in Lahaul valley, Himachal Pradesh",REGION,other country,FALSE,TRUE,TRUE
https://openalex.org/W4416097950,Fishing shapes cetacean population density patterns in the Mediterranean basin,LY,multiple North African,TRUE,TRUE,TRUE
https://openalex.org/W4405216067,Harnessing fear of predators and competitors as deterrents for an invasive predator,EG,not stated,FALSE,NA,TRUE
https://openalex.org/W2346372502,"Supplementary feeding and endangered avian scavengers: benefits, caveats, and controversies",EG,not stated,FALSE,NA,TRUE
