"n","authors_formatted","authors_raw","publication_year","title","source_container","doi","url","study_country","conflict_type","marine_terrestrial","species_common","openalex_id","tier","metadata_flag"
1,"[Authors not resolved in OpenAlex]",,2028,"Distribution of sea turtles and their anthropogenic threats: innovative approaches to improve conservation actions","Electronic Thesis and Dissertation Archive - Università di Pisa",,"309650787","multiple North African","not stated",,"sea turtles","309650787","B_regional_corroborated","publication_year implausible in source metadata"
2,"Bensaâd-Bendjedid, L., Zaidi, R., Boutabia, L., Rouidi, S. & Telailia, S.","Lamia Bensaâd-Bendjedid; Raouf Zaidi; Lamia Boutabia; Samir Rouidi; Salah Telailia",2026,"A new record of the critically endangered Smoothback angelshark Squatina oculata from Algerian waters (GFCM-GSA 04): biological data and implications for management","University of Zagreb University Computing Centre (SRCE)","https://doi.org/10.20302/nc.2025.35.6","https://doi.org/10.20302/nc.2025.35.6","multiple North African","bycatch","marine","Smoothback angelshark","W7125499556","B_regional_corroborated",""
3,"Speiran, S.","Siobhan Speiran",2026,"Animals and Tourism","Natural resource management and policy","https://doi.org/10.1007/978-3-032-17580-9_18","https://doi.org/10.1007/978-3-032-17580-9_18","multiple North African",,"both","not stated","W7154999849","C_asserted_no_evidence",""
4,"Mili, S., Ennouri, R., Agrebi, S. & Djabou, H.","Sami Mili; Rym Ennouri; Siwar Agrebi; Hanem Djabou",2026,"Assessing the Vulnerability and the Stock Status of the Bluntnose Sixgill Shark,  Hexanchus griseus  , in North‐Eastern Tunisia (Central Mediterranean) Using Data‐Limited Models","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.70416","https://doi.org/10.1002/aqc.70416","Tunisia","not stated","marine","Bluntnose Sixgill Shark","W7167666335","A_named_country_corroborated",""
5,"Abdellatif, M., Kindong, R., al., K. Y. A. e. & Tian, S.","Manar Abdellatif; Richard Kindong; Khaled Y. AbouelFadl et al.; Siquan Tian",2026,"Bayesian Growth Modeling and Length-Based Indicators: Stock Assessment of Nile Tilapia (Oreochromis niloticus) in Lake Nasser, Egypt","Biology","https://doi.org/10.3390/biology15110868","https://doi.org/10.3390/biology15110868","Egypt","not stated","not stated","Nile Tilapia","W7163334447","A_named_country_corroborated",""
6,"Farrag, M. M. S., Adel, M., El-Geddawy, M. M. A. & Serena, F.","Mahmoud M. S. Farrag; Mohamed Adel; Mennatallah M. A. El-Geddawy; Fabrizio Serena",2026,"Catchability Pattern of Cartilaginous Fishes with an Updated Their Diversity and Distribution Along the Egypt’s Mediterranean Coast: Conservation and Bycatch Challenges","Animals","https://doi.org/10.3390/ani16111730","https://doi.org/10.3390/ani16111730","Egypt","bycatch","marine","not stated","W7163541962","A_named_country_corroborated",""
7,"Larafa, A., Ghannem, S., Zahouani, Y. & Touaylia, S.","A. Larafa; S. Ghannem; Y. Zahouani; S. Touaylia",2026,"Elasmobranch bycatch in the cuttlefish trammel net fishery along the Bizerte coast (Northern Tunisia): composition and biological aspects","The European Zoological Journal","https://doi.org/10.1080/24750263.2026.2673641","https://doi.org/10.1080/24750263.2026.2673641","Tunisia","bycatch","marine","elasmobranchs","W7162558227","A_named_country_corroborated",""
8,"Attum, O., Bowman, B. & Soultan, A.","Omar Attum; Brad Bowman; Alaaeldin Soultan",2026,"Historical climatic and human settlement patterns leading up to the extinction of the Arabian leopard in the Sinai Peninsula","Scientific Reports","https://doi.org/10.1038/s41598-026-59368-z","https://doi.org/10.1038/s41598-026-59368-z","multiple North African","not stated","both","Arabian leopard","W7172483144","B_regional_corroborated",""
9,"Alami, A. E., Fattah, A., alami, i. e. & ALAMI, Z. E.","Abderrazak El Alami; Abderrazzak Fattah; ilyas el alami; ZIAD EL ALAMI",2026,"Latest sightings of the striped hyena in North Africa: major threats and conservation actions","TURKISH JOURNAL OF ZOOLOGY","https://doi.org/10.55730/1300-0179.3256","https://doi.org/10.55730/1300-0179.3256","multiple North African","persecution or retaliatory killing","terrestrial","striped hyena","W7138888116","B_regional_corroborated",""
10,"Anastasiou, A. M. M. et al.","Anna Maria M. Anastasiou; Stamatia Christaki; Konstantinos Feidantsis; Ioannis Georgoulis; Dimitrios K. Papadopoulos; Maria V. Alvanou; A. Apostolidis; Ioannis Mourtzinos; Maria C. Giannakourou; Ioannis A. Giantsis",2026,"Solving Ariadne’s thread in the blue crab invasion to turn it to a true paradigm of circular economy: eco-biological traits and valorization of by-products to enhance fisheries value, a scoping review","Frontiers in Marine Science","https://doi.org/10.3389/fmars.2026.1748819","https://doi.org/10.3389/fmars.2026.1748819","multiple North African","not stated","both","blue crab","W7154112871","C_asserted_no_evidence",""
