"conflict_type","openalex_id","publication_year","study_country","title","source_container","doi","url","marine_terrestrial","species_common","mitigation_tested","mitigation_outcome_measured","outcome_direction","tier"
"attacks on humans","W7166600224",2025,"multiple North African","Analisi degli attacchi di squali confermati nel Mediterraneo orientale e nel Mar di Marmara (1827-2025)","DiRROS repository (University of Maribor)",,"https://openalex.org/W7166600224","marine",,"not stated","not stated","not stated","B_regional_corroborated"
"attacks on humans","W4404190222",2024,"multiple North African","First Evidence of Individual Sharks Involved in Multiple Predatory Bites on People","Conservation Letters","https://doi.org/10.1111/conl.13067","https://doi.org/10.1111/conl.13067","marine","tiger shark, oceanic whitetip shark","yes","no","not measured","C_asserted_no_evidence"
"attacks on humans","W7167993435",2024,"multiple North African","Ferite inferte all’uomo dal sarago maggiore (Diplodus sargus)","DiRROS repository (University of Maribor)",,"https://openalex.org/W7167993435","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"attacks on humans","W2992131427",2019,"multiple North African","Snake bites in morocco: Progress and challenges","Advances in Toxicology and Toxic Effects","https://doi.org/10.17352/atte.000004","https://doi.org/10.17352/atte.000004","terrestrial","snake","not stated","not stated","not stated","B_regional_corroborated"
"attacks on humans","W3039198569",2018,"multiple North African","The Human Crocodile Conflicts and the Sustainable Conflict Resolutions Review","International Journal of Environmental Sciences & Natural Resources","https://doi.org/10.19080/ijesnr.2018.13.555856","https://doi.org/10.19080/ijesnr.2018.13.555856","not stated","Nile crocodile","yes","yes","reduced conflict","B_regional_corroborated"
"bycatch","W7162558227",2026,"Tunisia","Elasmobranch bycatch in the cuttlefish trammel net fishery along the Bizerte coast (Northern Tunisia): composition and biological aspects","The European Zoological Journal","https://doi.org/10.1080/24750263.2026.2673641","https://doi.org/10.1080/24750263.2026.2673641","marine","elasmobranchs","no","no","not measured","A_named_country_corroborated"
"bycatch","W7125499556",2026,"multiple North African","A new record of the critically endangered Smoothback angelshark Squatina oculata from Algerian waters (GFCM-GSA 04): biological data and implications for management","University of Zagreb University Computing Centre (SRCE)","https://doi.org/10.20302/nc.2025.35.6","https://doi.org/10.20302/nc.2025.35.6","marine","Smoothback angelshark","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W7163541962",2026,"Egypt","Catchability Pattern of Cartilaginous Fishes with an Updated Their Diversity and Distribution Along the Egypt’s Mediterranean Coast: Conservation and Bycatch Challenges","Animals","https://doi.org/10.3390/ani16111730","https://doi.org/10.3390/ani16111730","marine","not stated","no","no","not stated","A_named_country_corroborated"
"bycatch","W4416097950",2025,"multiple North African","Fishing shapes cetacean population density patterns in the Mediterranean basin","Ecography","https://doi.org/10.1002/ecog.07919","https://doi.org/10.1002/ecog.07919","marine","cetaceans","no","no","not measured","C_asserted_no_evidence"
"bycatch","W4413766820",2025,"multiple North African","Seabird‐vessel interactions in industrial fisheries of Northwest Africa: Implications for international bycatch management","Journal of Applied Ecology","https://doi.org/10.1111/1365-2664.70139","https://doi.org/10.1111/1365-2664.70139","marine","Cape Verde shearwaters, Cory's shearwaters, Audouin's gulls","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W4416845933",2025,"multiple North African","Fishery Bycatch of Sea Turtles in the Moroccan Western Mediterranean Sea: An Assessment Based on Interviews with Fishermen","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2025.437909.6913","https://doi.org/10.21608/ejabf.2025.437909.6913","marine","sea turtle","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4408717697",2025,"Egypt","Vulnerable Marine Vertebrates along the Egyptian Mediterranean Coast: Challenges to the Anthropogenic, Fisheries Bycatch and Climatic Changes","IntechOpen eBooks","https://doi.org/10.5772/intechopen.1009504","https://doi.org/10.5772/intechopen.1009504","marine","not stated","not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W7137890517",2025,"multiple North African","Impact of bycatch in tunisian coastal fisheries:Proposed fishing gear and practice modifications to Mitigate the effect on threatened sea turtles","Open MIND","https://doi.org/10.60713/pist-201256","https://doi.org/10.60713/pist-201256","marine","sea turtles","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4392665905",2024,"Morocco","The bycatch estimate of threatened marine megavertebrates in Moroccan fleets operating in the Mediterranean Coast","E3S Web of Conferences","https://doi.org/10.1051/e3sconf/202450201001","https://doi.org/10.1051/e3sconf/202450201001","marine","seabirds, sea turtles, seals, marine mammals, sharks and rays, common dolphins","not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W4399241889",2024,"multiple North African","Preliminary Insights on the Habitat Use and Vertical Movements of Pelagic Stingray (Pteroplatytrygon violacea) in the Western Mediterranean Sea","Preprints.org","https://doi.org/10.20944/preprints202405.2055.v1","https://doi.org/10.20944/preprints202405.2055.v1","marine","Pelagic Stingray","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W4393069821",2024,"Morocco","Impact of interactions between common bottlenose dolphins and purse-seiners in the Moroccan Mediterranean region: case study in the Al Hoceima fishing grounds","African Journal of Marine Science","https://doi.org/10.2989/1814232x.2024.2310528","https://doi.org/10.2989/1814232x.2024.2310528","marine","common bottlenose dolphins","not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W4402784425",2024,"multiple North African","Assessing the vulnerability of sensitive species in Mediterranean fisheries: insights from productivity-susceptibility analysis","Frontiers in Marine Science","https://doi.org/10.3389/fmars.2024.1411033","https://doi.org/10.3389/fmars.2024.1411033","marine","sea turtles","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W4396218332",2024,"Tunisia","High Loggerhead (Caretta caretta) Bycatch Rate along with Several Endangered Target Species: Two Reasons to Look for Alternative to Traditional Large-Mesh Bottom-Set Gillnets (Garrasia) for More Sustainable Fisheries in the Gulf of Gabès (Tunisia)","Sustainability","https://doi.org/10.3390/su16093713","https://doi.org/10.3390/su16093713","marine","sea turtles","not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W4413435269",2024,"multiple North African","Assessment of Morphometric Characteristics and Conservation Challenges of Pteroplatytrygon Violacea (Bonaparte, 1832) in Libyan Waters","International Journal For Multidisciplinary Research","https://doi.org/10.36948/ijfmr.2024.v06i06.30931","https://doi.org/10.36948/ijfmr.2024.v06i06.30931","marine","pelagic stingray","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4399672673",2024,"multiple North African","Additional records of the little sleeper shark, Somniosus rostratus (Elasmobranchii: Squaliformes: Somniosidae), in Mediterranean Sea","Acta Ichthyologica Et Piscatoria","https://doi.org/10.3897/aiep.54.121813","https://doi.org/10.3897/aiep.54.121813","marine","not stated","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W7164091231",2024,"multiple North African","Anàlisi del grau de solapament entre l&apos;esforç de pesca aparent i l&apos;hàbitat de la tortuga boba en el Mediterrani occidental","RiuNet (Universitat Politècnica de València)",,"https://openalex.org/W7164091231",,"loggerhead turtles","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W4365151733",2023,"Tunisia","Vulnerability of elasmobranchs caught as bycatch in the grouper longline fishery in the Gulf of Gabès, Tunisia","Mediterranean Marine Science","https://doi.org/10.12681/mms.27483","https://doi.org/10.12681/mms.27483","marine","not stated","no","no","not stated","A_named_country_corroborated"
"bycatch","W4387645544",2023,"multiple North African","National Inventory and status of Chondrichthyes in the South Mediterranean Sea (Libyan Coast)","BIODIVERSITY JOURNAL","https://doi.org/10.31396/biodiv.jour.2023.14.3.459.480","https://doi.org/10.31396/biodiv.jour.2023.14.3.459.480","marine","sharks","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4376631244",2023,"Tunisia","Fishermen Interviews: A Cost-Effective Tool for Evaluating the Impact of Fisheries on Vulnerable Sea Turtles in Tunisia and Identifying Levers of Mitigation","Animals","https://doi.org/10.3390/ani13091535","https://doi.org/10.3390/ani13091535","marine","sea turtle","not stated","not stated","not stated","A_named_country_corroborated"
"bycatch","W4388858561",2023,"multiple North African","Quantifying Abundance and Mapping Distribution of Loggerhead Turtles in the Mediterranean Sea Using Aerial Surveys: Implications for Conservation","Diversity","https://doi.org/10.3390/d15121159","https://doi.org/10.3390/d15121159","marine","Loggerhead Turtles","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4379795531",2023,"multiple North African","The Red Sea Fisheries - Threats and Proposed Solutions","AIN Journal","https://doi.org/10.59660/45115","https://doi.org/10.59660/45115","marine","sea turtles","yes","not stated","not stated","C_asserted_no_evidence"
"bycatch","W4380050798",2023,"multiple North African","The Red Sea Fisheries - Threats and Proposed Solutions","AIN Journal","https://doi.org/10.59660/45125","https://doi.org/10.59660/45125","marine","sea turtles","yes","not stated","not stated","C_asserted_no_evidence"
"bycatch","292045994",2023,"Tunisia","Vulnerability of elasmobranchs caught as bycatch in the grouper longline fishery in the Gulf of Gabès, Tunisia","National Documentation Centre - EKT journals",,"292045994","marine","not stated","no","no","not stated","A_named_country_corroborated"
"bycatch","W4224103651",2022,"multiple North African","Preliminary data on bycatch and stranding of marine turtles in Al Hoceima, Morocco","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.228714","https://doi.org/10.21608/ejabf.2022.228714","marine","turtles","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W3215690827",2021,"multiple North African","Strongly structured populations and reproductive habitat fragmentation increase the vulnerability of the Mediterranean starry rayRaja asterias(Elasmobranchii, Rajidae)","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3739","https://doi.org/10.1002/aqc.3739","marine","Mediterranean starry ray","not stated","not stated","not stated","C_asserted_no_evidence"
"bycatch","W3203855821",2021,"multiple North African","First record of Pteroplatytrygon violacea (Bonaparte, 1832) with annotation of cartilaginous fishes by-catch by gill nets (Egyptian Mediterranean)","The Egyptian Journal of Aquatic Research","https://doi.org/10.1016/j.ejar.2021.09.002","https://doi.org/10.1016/j.ejar.2021.09.002","marine","not stated","not stated","not stated","not stated","B_regional_corroborated"
"bycatch","W4242830021",2021,"multiple North African","Shark Conservation – Analysis and Synthesis","Preprints.org","https://doi.org/10.20944/preprints202102.0145.v3","https://doi.org/10.20944/preprints202102.0145.v3","marine","shark","no","no","not measured","C_asserted_no_evidence"
"bycatch","W4206431590",2021,"multiple North African","Shark Conservation – Analysis and Synthesis","Preprints.org","https://doi.org/10.20944/preprints202102.0145.v4","https://doi.org/10.20944/preprints202102.0145.v4","marine","shark","no","no","not measured","C_asserted_no_evidence"
