"openalex_id","title","publication_year","doi","url","source_container","type","conflict_type","country"
"W7125499556","A new record of the critically endangered Smoothback angelshark Squatina oculata from Algerian waters (GFCM-GSA 04): biological data and implications for management",2026,"https://doi.org/10.20302/nc.2025.35.6","https://doi.org/10.20302/nc.2025.35.6","University of Zagreb University Computing Centre (SRCE)","article","bycatch","Algeria"
"W7138888116","Latest sightings of the striped hyena in North Africa: major threats and conservation actions",2026,"https://doi.org/10.55730/1300-0179.3256","https://doi.org/10.55730/1300-0179.3256","TURKISH JOURNAL OF ZOOLOGY","article","persecution or retaliatory killing","Algeria"
"W4416097950","Fishing shapes cetacean population density patterns in the Mediterranean basin",2025,"https://doi.org/10.1002/ecog.07919","https://doi.org/10.1002/ecog.07919","Ecography","article","bycatch","Algeria"
"W4414163724","Marine biotoxins in Mediterranean seafood: Environmental occurrence and food safety concerns",2025,"https://doi.org/10.1016/j.ecoenv.2025.119032","https://doi.org/10.1016/j.ecoenv.2025.119032","Ecotoxicology and Environmental Safety","article","not stated","Algeria"
"W4413766820","Seabird‐vessel interactions in industrial fisheries of Northwest Africa: Implications for international bycatch management",2025,"https://doi.org/10.1111/1365-2664.70139","https://doi.org/10.1111/1365-2664.70139","Journal of Applied Ecology","article","bycatch","Algeria"
"W4406918266","Impact of long-term cyanotoxin exposure on cattle: Biochemical, histological, and oxidative stress assessment",2025,"https://doi.org/10.14202/vetworld.2025.189-201","https://doi.org/10.14202/vetworld.2025.189-201","Veterinary World","article","not stated","Algeria"
"W4407107407","ASSESSING THE POPULATION PARAMETERS OF EUROPEAN ANCHOVY, ENGRAULIS ENCRASICOLUS (LINNAEUS, 1758) IN ALGERIAN EAST COAST (SOUTHWESTERN MEDITERRANEAN SEA)",2025,"https://doi.org/10.15666/aeer/2301_13471363","https://doi.org/10.15666/aeer/2301_13471363","Applied Ecology and Environmental Research","article","not stated","Algeria"
"W7114772952","Nesting Biology of the Aquatic Mallards Anas platyrhynchos Linnaeus, 1758 in Lake Tonga, El Kala National Park, Algeria",2025,"https://doi.org/10.21608/ejabf.2025.356503.5314","https://doi.org/10.21608/ejabf.2025.356503.5314","Egyptian Journal of Aquatic Biology and Fisheries","article","persecution or retaliatory killing","Algeria"
"W4416337265","Context Matters: How Decontextualization Influences Public Perception and Conservation Attitudes Toward Barbary Macaques in Algeria",2025,"https://doi.org/10.3390/ani15223319","https://doi.org/10.3390/ani15223319","Animals","article","competition for resources","Algeria"
"W4390771181","Identifying the foraging grounds of the new loggerhead turtle nesters in the western Mediterranean",2024,"https://doi.org/10.1002/aqc.4059","https://doi.org/10.1002/aqc.4059","Aquatic Conservation Marine and Freshwater Ecosystems","article","not stated","Algeria"
"W4393971019","Tracking data highlight the importance of human-induced mortality for large migratory birds at a flyway scale",2024,"https://doi.org/10.1016/j.biocon.2024.110525","https://doi.org/10.1016/j.biocon.2024.110525","Biological Conservation","article","not stated","Algeria"
"W4405400421","The future of the barbary sheep and the dorcas gazelle populations in Algerian Sahara: On the brink of extinction?",2024,"https://doi.org/10.1111/acv.13010","https://doi.org/10.1111/acv.13010","Animal Conservation","article","persecution or retaliatory killing","Algeria"
"W4402276370","Intentional Killings and Culling of Small Cetaceans due to Perceived Competition with Fisheries in the Mediterranean Sea and Northeast Atlantic between the Eighteenth and Twentieth Centuries",2024,"https://doi.org/10.1201/9781003477518-2","https://doi.org/10.1201/9781003477518-2",,"book-chapter","competition for resources","Algeria"
"W4402750361","Climate Warming and Mismanagement Drive the Shift of Fish Communities in the Wadi El-Rayan Arid Lakes",2024,"https://doi.org/10.3390/w16182685","https://doi.org/10.3390/w16182685","Water","article","not stated","Algeria"
"W7164091231","Anàlisi del grau de solapament entre l&apos;esforç de pesca aparent i l&apos;hàbitat de la tortuga boba en el Mediterrani occidental",2024,,"https://openalex.org/W7164091231","RiuNet (Universitat Politècnica de València)","dissertation","bycatch","Algeria"
"W4388510764","African Buffalo and Colonial Cattle: Is ‘Systems Change’ the Best Future for Farming and Nature in Africa?",2023,"https://doi.org/10.1017/9781009006828.017","https://doi.org/10.1017/9781009006828.017","Cambridge University Press eBooks","book-chapter","not stated","Algeria"
