"openalex_id","publication_year","study_country","title","doi","url","conflict_type","species_common","damage_estimate","tier"
"W2899931711",2018,"Morocco","Communicating for conservation: circumventing conflict with communities over domestic dog ownership in north Morocco","https://doi.org/10.1007/s10344-018-1230-x","https://doi.org/10.1007/s10344-018-1230-x","livestock depredation","Barbary macaque","many cows","A_named_country_corroborated"
"W4312158089",2022,"multiple North African","Disclosing the determinants, drivers and predictors of bird depredation on date palm (Phoenix dactylifera L.) production","https://doi.org/10.1016/j.jssas.2022.12.003","https://doi.org/10.1016/j.jssas.2022.12.003","crop damage","sparrows","9.2 ± 7.66%, 8.4 ± 5.16%, and 3.9 ± 1.71% for Ghars, Deglet-Nour, and Degla-Beida, respectively.","C_asserted_no_evidence"
"W4413915988",2025,"Tunisia","Elasmobranch fisheries in Tunisia: Characterization, fishermen’s insights and conservation options","https://doi.org/10.1016/j.rsma.2025.104465","https://doi.org/10.1016/j.rsma.2025.104465",,"not stated","declines in both catches and sizes of target species over the past 10 years","A_named_country_corroborated"
"W3175439491",2021,"multiple North African","Disentangling drivers of power line use by vultures: Potential to reduce electrocutions","https://doi.org/10.1016/j.scitotenv.2021.148534","https://doi.org/10.1016/j.scitotenv.2021.148534","persecution or retaliatory killing","Egyptian Vulture","about 50%","B_regional_corroborated"
"W2022452219",2011,"multiple North African","Interactions of loggerhead turtle with bottom longline fishery in the Gulf of Gabès, Tunisia","https://doi.org/10.1017/s0025315411000312","https://doi.org/10.1017/s0025315411000312","bycatch","loggerhead turtle","43.75%","B_regional_corroborated"
"W2105633026",2011,"Egypt","Sea turtle bycatch and consumption in Egypt threatens Mediterranean turtle populations","https://doi.org/10.1017/s0030605310001286","https://doi.org/10.1017/s0030605310001286","bycatch",,"7,164","A_named_country_corroborated"
"W2289557866",2016,"multiple North African","Preliminary assessment of the scope and scale of illegal killing and taking of birds in the Mediterranean","https://doi.org/10.1017/s0959270915000416","https://doi.org/10.1017/s0959270915000416","not stated","not stated","minimum and maximum approximate estimate of the total number of individuals killed illegally per year in the country","B_regional_corroborated"
"W3110888851",2020,"multiple North African","Major threats to a migratory raptor vary geographically along the eastern Mediterranean flyway","https://doi.org/10.1101/2020.12.16.422983","https://doi.org/10.1101/2020.12.16.422983","persecution or retaliatory killing","Egyptian Vulture","44 birds","B_regional_corroborated"
"W2905336371",2018,"multiple North African","Conserving wildlife facing mass‐tourism calls for effective management","https://doi.org/10.1111/acv.12474","https://doi.org/10.1111/acv.12474","other","Osprey","60% local decrease since 2012 in the abundance of emblematic fish species, such as dusky groupers Epinephelus marginatus, brown meagres Sciaena umbra, or white seabreams Diplodus sargus","B_regional_corroborated"
"W2144503057",2015,"multiple North African","Another Continental Vulture Crisis: Africa's Vultures Collapsing toward Extinction","https://doi.org/10.1111/conl.12182","https://doi.org/10.1111/conl.12182","persecution or retaliatory killing",,"7,819 vulture deaths recorded across 26 countries","C_asserted_no_evidence"
"W2316595866",2016,"multiple North African","Shelf life: neritic habitat use of a turtle population highly threatened by fisheries","https://doi.org/10.1111/ddi.12440","https://doi.org/10.1111/ddi.12440","bycatch","loggerhead turtles","minimum annual mortality of 11%","B_regional_corroborated"
"W4402276370",2024,"multiple North African","Intentional Killings and Culling of Small Cetaceans due to Perceived Competition with Fisheries in the Mediterranean Sea and Northeast Atlantic between the Eighteenth and Twentieth Centuries","https://doi.org/10.1201/9781003477518-2","https://doi.org/10.1201/9781003477518-2","competition for resources","dolphins","tens of thousands","B_regional_corroborated"
"W3196770489",2021,"Egypt","Economic Losses Caused By Rodents in Some Cultivars of Rodents in Maize Fields","https://doi.org/10.18535/raj/v4i09.02","https://doi.org/10.18535/raj/v4i09.02","crop damage","rodents","The losses caused by the rodents were calculated for each training/feds and then transferred financially.","A_named_country_corroborated"
"W4294096698",2022,"multiple North African","Losses of tomato crop by wild birds in El-Beheira and Matrouh governorates, Egypt","https://doi.org/10.21608/ajar.2022.255498","https://doi.org/10.21608/ajar.2022.255498","crop damage","hooded crow, house sparrow","9.50%","B_regional_corroborated"
"W4292236166",2022,"Egypt","Impact of a Wind Energy Projects on Bird Migration Gabel Al-Zeit - Eastern Desert, Egypt","https://doi.org/10.21608/cat.2022.147050.1134","https://doi.org/10.21608/cat.2022.147050.1134","other","migratory soaring birds","0.084 MSB fatality/ turbine/ season, 0.166 Passerine/ turbine/season","A_named_country_corroborated"
"W3134637697",2021,"Egypt","Status of Indo-Pacific Bottlenose Dolphin, Tursiops aduncus (Family Delphinidae: Order Cetacea) in the Northern Protected Islands, Hurghada, Red Sea, Egypt","https://doi.org/10.21608/ejabf.2021.149307","https://doi.org/10.21608/ejabf.2021.149307","other","Indo-Pacific Bottlenose Dolphin","about 88% (22 individuals)","A_named_country_corroborated"
"W4310824678",2022,"Morocco","Impact of the Bottlenose Dolphins (Tursiops truncatus) Depredation on Purse-Seine Fishery in the Region of M’diq (Northwestern Morocco)","https://doi.org/10.21608/ejabf.2022.271078","https://doi.org/10.21608/ejabf.2022.271078","other","Bottlenose Dolphins","35,533.3$","A_named_country_corroborated"
"W4416845933",2025,"multiple North African","Fishery Bycatch of Sea Turtles in the Moroccan Western Mediterranean Sea: An Assessment Based on Interviews with Fishermen","https://doi.org/10.21608/ejabf.2025.437909.6913","https://doi.org/10.21608/ejabf.2025.437909.6913","bycatch","sea turtle","approximately 450 annual events, resulting in an estimated 40 mortalities","B_regional_corroborated"
"W2976496276",2018,"Egypt","AN ESTIMATION OF BIRD DAMAGES ON SOME FIELD, VEGETABLE AND FRUIT CROPS AT SHARKIA GOVERNORATE, EGYPT","https://doi.org/10.21608/zjar.2018.48571","https://doi.org/10.21608/zjar.2018.48571","crop damage","hooded crow, house sparrow","The losses by birds were estimated to be 4.79 and 4.64% in orchards nearby poultry farms and those nearby field crops, respectively.","A_named_country_corroborated"
"W4393069821",2024,"Morocco","Impact of interactions between common bottlenose dolphins and purse-seiners in the Moroccan Mediterranean region: case study in the Al Hoceima fishing grounds","https://doi.org/10.2989/1814232x.2024.2310528","https://doi.org/10.2989/1814232x.2024.2310528","bycatch","common bottlenose dolphins","US$179.52 per mending event","A_named_country_corroborated"
"W2020587463",2013,"multiple North African","Mortality rates in by-caught loggerhead turtle Caretta caretta in the Mediterranean Sea and implications for the Atlantic populations","https://doi.org/10.3354/meps10411","https://doi.org/10.3354/meps10411","bycatch","loggerhead turtle","3421 to 4028 turtle deaths annually","C_asserted_no_evidence"
"W4392545263",2024,"multiple North African","Another One Bites the Net: Assessing the Economic Impacts of Lagocephalus sceleratus on Small-Scale Fisheries in Greece","https://doi.org/10.3390/fishes9030104","https://doi.org/10.3390/fishes9030104","property damage","silver-cheeked toadfish","EUR 6315 ± 2620 per vessel in Crete and EUR 258 ± 120 in the Ionian Sea","B_regional_corroborated"
"W4390354179",2023,"Algeria","What does the diet of the Common Starling (Sturnus vulgaris Linnaeus, 1758) in the Ziban Oasis (Algeria) indicate: pest or useful in agriculture?","https://doi.org/10.35513/21658005.2023.2.10","https://doi.org/10.35513/21658005.2023.2.10","crop damage","Common Starlings","huge damage to the crops of dates, olives and cereals","A_named_country_corroborated"
"W3188375666",2021,"multiple North African","Economic costs of invasive alien species in the Mediterranean basin","https://doi.org/10.3897/neobiota.67.58926","https://doi.org/10.3897/neobiota.67.58926","not stated","not stated","monetary costs","B_regional_corroborated"
"W1543624443",2003,"multiple North African","Seabird mortality from longline fishing in the Mediterranean Sea and Macaronesian waters: a review and a way forward","https://doi.org/10.3989/scimar.2003.67s257","https://doi.org/10.3989/scimar.2003.67s257","bycatch","Cory´s shearwater","4-6% of the local breeding population of Cory´s shearwater Calonectris diomedea may be killed annually","B_regional_corroborated"
"W1863567874",2008,"multiple North African","Incidental capture of sea turtles by longlines in the Gulf of Gabès (South Tunisia): A comparative study between bottom and surface longlines","https://doi.org/10.3989/scimar.2008.72n2337","https://doi.org/10.3989/scimar.2008.72n2337","not stated","sea turtles","annual total catch of marine turtles by Sll and Bll was estimated by applying catch rates, R (turtle/fishing trip), to the total fishing effort, H (number of trips), for the whole longline fleet operating in the zone of Zarzis.","B_regional_corroborated"
"W4408823380",2025,"multiple North African","Mitigating dolphin depredation in Mediterranean fisheries: results and insights from collaborative efforts for cetacean conservation and sustainable fisheries","https://doi.org/10.5194/oos2025-1359","https://doi.org/10.5194/oos2025-1359",,"dolphin","up to EUR 600 per month","B_regional_corroborated"
"W7138888116",2026,"multiple North African","Latest sightings of the striped hyena in North Africa: major threats and conservation actions","https://doi.org/10.55730/1300-0179.3256","https://doi.org/10.55730/1300-0179.3256","persecution or retaliatory killing","striped hyena","134 hyenas (32.1% of all hyenas recorded)","B_regional_corroborated"
"W2502035066",2007,"multiple North African","07. Impact of trawl fishery on marine turtles in the Gulf of Gabès, Tunisia",,"https://openalex.org/W2502035066","bycatch","loggerhead","182±55/year","B_regional_corroborated"
"310900409",2016,"multiple North African","Shelf life: Neritic habitat use of a turtle population highly threatened by fisheries",,"310900409","bycatch","loggerhead turtles","minimum annual mortality of 11%","B_regional_corroborated"
"W7166600224",2025,"multiple North African","Analisi degli attacchi di squali confermati nel Mediterraneo orientale e nel Mar di Marmara (1827-2025)",,"https://openalex.org/W7166600224","attacks on humans",,"total (n = 46) and fatal (n = 19)","B_regional_corroborated"
"309650787",2028,"multiple North African","Distribution of sea turtles and their anthropogenic threats: innovative approaches to improve conservation actions",,"309650787","not stated","sea turtles","17-25%","B_regional_corroborated"
