"openalex_id","publication_year","study_country","title","source_container","doi","url","conflict_type","mitigation_type","outcome_direction","damage_estimate","tier"
"W4402276370",2024,"multiple North African","Intentional Killings and Culling of Small Cetaceans due to Perceived Competition with Fisheries in the Mediterranean Sea and Northeast Atlantic between the Eighteenth and Twentieth Centuries",,"https://doi.org/10.1201/9781003477518-2","https://doi.org/10.1201/9781003477518-2","competition for resources","extermination/killing campaigns","increased conflict","tens of thousands","B_regional_corroborated"
"W2131901272",2015,"multiple North African","African Bats: Conservation in the time of Ebola","Therya","https://doi.org/10.12933/therya-15-244","https://doi.org/10.12933/therya-15-244","disease transmission","culling campaigns","increased conflict","not stated","B_regional_corroborated"
"W2620939781",2017,"Morocco","A Century Spent Combating Rabies in Morocco (1911–2015): How Much Longer?","Frontiers in Veterinary Science","https://doi.org/10.3389/fvets.2017.00078","https://doi.org/10.3389/fvets.2017.00078","disease transmission","vaccination (dogs and cats)","mixed","not stated","A_named_country_corroborated"
"W4412419680",2025,"Morocco","A 25-year longitudinal assessment of Macaca sylvanus population dynamics and forest decline in Morocco's Middle Atlas","Biological Conservation","https://doi.org/10.1016/j.biocon.2025.111334","https://doi.org/10.1016/j.biocon.2025.111334","competition for resources","establishment of Ifrane National Park, anti-poaching campaigns, and reduced grazing pressure","reduced conflict","not stated","A_named_country_corroborated"
"W4401129331",2024,"Tunisia","Ghost Gear in the Gulf of Gabès (Tunisia): An Urgent Need for a Conservation Code of Conduct","Preprints.org","https://doi.org/10.20944/preprints202407.2113.v1","https://doi.org/10.20944/preprints202407.2113.v1","not stated",,"reduced conflict","not stated","A_named_country_corroborated"
"W4395694977",2024,"Libya","The Most Effective Methods Used to Control Mole Rats, Spalax ehrenbergi, on Benghazi Plain Project in Libya","Egyptian Academic Journal of Biological Sciences F Toxicology & Pest Control","https://doi.org/10.21608/eajbsf.2024.351179","https://doi.org/10.21608/eajbsf.2024.351179","crop damage","Toxic strychnine hydrochloride, trapping, pouring water into the tunnels, Calcium phosphate granules, shift to the cultivation of annual crops, using of Aluminum phosphide tablets, and use of Gas","reduced conflict",,"A_named_country_corroborated"
"W4406218147",2024,"Morocco","Toxicity, antifeedant and repellent activities of five essential oils on adult Cassida vittata Vill. (Coleoptera: Chrysomelidae)","Journal of Plant Protection Research","https://doi.org/10.24425/jppr.2024.151820","https://doi.org/10.24425/jppr.2024.151820","crop damage",,"reduced conflict","not stated","A_named_country_corroborated"
"W4404061647",2024,"multiple North African","Barn Owls as a Nature-Based Solution for Pest Control: A Multinational Initiative Around the Mediterranean and Other Regions","Conservation","https://doi.org/10.3390/conservation4040039","https://doi.org/10.3390/conservation4040039","crop damage","Nature-Based Solutions (NbSs), on the other hand, are increasingly recognized for addressing environmental challenges such as climate change, biodiversity loss, and sustainable development, and they include actions that protect, sustainably manage, and restore ecosystems. In this context, Barn Owls (Tyto alba) are highly effective as a natural pest-rodent control agents in agro-ecosystems. Deploying nest boxes in agricultural areas can significantly increase Barn Owl populations, ensuring continuous and effective rodent control.","reduced conflict","not stated","B_regional_corroborated"
"W4378554658",2023,"Egypt","The Impact of Airports Bird Hazard Management on Climate Changes and Bird-watching Tourism: Applying to Sharm El-Sheikh International Airport","Journal of Association of Arab Universities for Tourism and Hospitality","https://doi.org/10.21608/jaauth.2023.197185.1429","https://doi.org/10.21608/jaauth.2023.197185.1429","other","An integrated bird risk management system has been followed and implemented in airports, the formation of a database, bird control activities including (habitat modification, animal transportation, and airport food chain stop), and promotion of safety and environmental culture.","reduced conflict","not stated","A_named_country_corroborated"
"W4303646466",2022,"Egypt","Herbivorous Reef Fishes of South Sinai Marine Protected Areas (Gulf of Aqaba, Egypt): Influence of Fisheries Management and Protection Status","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.264541","https://doi.org/10.21608/ejabf.2022.264541","not stated","no-take fishery reserves","reduced conflict","not stated","A_named_country_corroborated"
"W3175439491",2021,"multiple North African","Disentangling drivers of power line use by vultures: Potential to reduce electrocutions","The Science of The Total Environment","https://doi.org/10.1016/j.scitotenv.2021.148534","https://doi.org/10.1016/j.scitotenv.2021.148534","persecution or retaliatory killing","free text","reduced conflict","about 50%","B_regional_corroborated"
"W3172003661",2021,"Morocco","A management plan for a declining population of the Souss valley tortoise in an arid steppe-land of west-central Morocco","Basic and Applied Herpetology","https://doi.org/10.11160/bah.183","https://doi.org/10.11160/bah.183","not stated","reducing juvenile mortality","reduced conflict","not stated","A_named_country_corroborated"
"W3196770489",2021,"Egypt","Economic Losses Caused By Rodents in Some Cultivars of Rodents in Maize Fields","Research and Analysis Journal","https://doi.org/10.18535/raj/v4i09.02","https://doi.org/10.18535/raj/v4i09.02","crop damage","not stated","reduced conflict","The losses caused by the rodents were calculated for each training/feds and then transferred financially.","A_named_country_corroborated"
"W3196772912",2021,"Morocco","The Last-Surviving Moroccan Dorcas Gazelle (Gazella dorcas massaesyla) Viability Analysis [M’Sabih Talaa Reserve, Morocco]","International Journal of Zoological Investigations","https://doi.org/10.33745/ijzi.2021.v07i01.017","https://doi.org/10.33745/ijzi.2021.v07i01.017","not stated",,"reduced conflict","not stated","A_named_country_corroborated"
"W3037333349",2020,"multiple North African","Individual and environmental drivers of resource use in an endangered vulture: integrating movement, spatial and social ecology","Dialnet (Universidad de la Rioja)",,"https://openalex.org/W3037333349",,"prioritizing mitigation measures on relatively few pylons","reduced conflict","not stated","B_regional_corroborated"
"W3003427061",2019,"Egypt","RODENT DAMAGE AND CONTROL IN WHEAT GROWING STAGES, SOHAG GOVERNORATE, EGYPT","Egyptian Journal of Agricultural Research","https://doi.org/10.21608/ejar.2019.68569","https://doi.org/10.21608/ejar.2019.68569","crop damage","Zinc phosphide formulations (A, B, and C) applied to wheat crop","reduced conflict","not stated","A_named_country_corroborated"
"W3039198569",2018,"multiple North African","The Human Crocodile Conflicts and the Sustainable Conflict Resolutions Review","International Journal of Environmental Sciences & Natural Resources","https://doi.org/10.19080/ijesnr.2018.13.555856","https://doi.org/10.19080/ijesnr.2018.13.555856","attacks on humans","fenced enclosure","reduced conflict","not stated","B_regional_corroborated"
"W3121622394",2018,"multiple North African","DETERMINATION OF HOODED CROW (CORVUS CORONE L.) POPULATION AND METHODS OF CONTROL IN SHEEP FARM AT RAS SEDR, SOUTH SINAI, EGYPT","Egyptian Journal of Agricultural Research","https://doi.org/10.21608/ejar.2018.142667","https://doi.org/10.21608/ejar.2018.142667",,"Mechanical and chemical control using fine net and three pesticides (Methomyl, Zinc phosphide and super caid)","reduced conflict","not stated","B_regional_corroborated"
