species_common,studies
sea turtle,13
barbary macaque,9
loggerhead turtle,7
loggerhead sea turtle,5
egyptian vulture,4
dolphin,3
macaque,3
nile crocodile,3
northern bald ibis,3
pelagic stingray,3
rodent,3
shark,3
snake,3
turtle,3
common bottlenose dolphin,2
dolphinfish,2
fish,2
green turtle,2
hooded crow house sparrow,2
marine turtle,2
sandbar shark,2
shark and ray,2
spinner dolphin,2
whale,2
acacia tortilis,1
almond,1
anchovie,1
angel shark,1
arabian leopard,1
argania spinosa,1
atlantic bluefin tuna,1
banded murex purple dye murex,1
barbary lion,1
barbary sheep dorcas gazelle,1
barn owl,1
beaked whale,1
bird,1
blackchin guitarfish hound shark sandbar shark,1
blue crab,1
blue swimming crab,1
bluntnose sixgill shark,1
bottlenose dolphin,1
brown land snail,1
cape verde shearwater cory s shearwater audouin s gull,1
caracal,1
cassida vittata,1
cetacean,1
chinese carp,1
common cuttlefish,1
common starling,1
cory s shearwater,1
crocodile,1
cuvier s gazelle,1
dog,1
dugong sea turtle green turtle hawksbill turtle,1
eastern imperial eagle,1
egyptian fruit bat,1
elasmobranch,1
eurasian wild boar,1
freshwater crayfish,1
freshwater puffer fish,1
gorilla,1
harbour porpoise,1
hooded crow,1
house sparrow,1
indo pacific bottlenose dolphin,1
lesser black backed gull,1
loggerhead,1
loggerhead turtle green turtle leatherback turtle,1
loggerhead turtle leatherback turtle green turtle,1
mallard,1
mangrove,1
mediterranean common dolphin,1
mediterranean starry ray,1
migratory soaring bird,1
mole rat,1
mt gazelle,1
mustelus mustelus mustelus punctulatus dasyatis pastinaca dasyatis marmorata torpedo torpedo carcharhinus plumbeus carcharhinus brevipinna,1
nile soft shelled turtle,1
nile tilapia,1
nile tilapia mullet and grass carp,1
northern shoveler barn swallow,1
norway lobster,1
norway rat,1
oceanic bird seal family sea turtle iguana crab marine snake,1
osprey,1
otter,1
pigeon and white stork,1
quail,1
rabbit fish,1
rat cory s shearwater,1
red fox stone marten eurasian badger common genet egyptian mongoose european rabbit iberian hare red legged partridge,1
rhino,1
rhino tiger barbary macaque sturgeon,1
roof rat,1
rüppell s vulture,1
saharan striped polecat,1
scimitar horned oryx,1
seabird,1
seabird sea turtle elasmobranch marine mammal macrobenthic invertebrate,1
seabird sea turtle seal marine mammal shark and ray common dolphin,1
shark turtle whale and seal,1
short beaked common dolphin,1
silver cheeked toadfish,1
sinanodonta woodiana,1
smoothback angelshark,1
spanish imperial eagle bonelli s eagle golden eagle,1
sparrow,1
spider crab,1
striped dolphin,1
striped dolphin common dolphin,1
striped hyena,1
sugar beet,1
swordfish,1
tiger shark oceanic whitetip shark,1
tortoise,1
viper,1
water hyacinth,1
waterbird,1
whale sea turtle dolphin shark,1
white stork,1
wild boar,1
woodpigeon,1
