normalised,value_final,n
barbary macaque,Barbary macaque,6
barbary macaque,Barbary macaques,2
barbary macaque,Barbary Macaque,1
dolphin,dolphin,2
dolphin,dolphins,1
egyptian vulture,Egyptian Vulture,3
egyptian vulture,Egyptian vultures,1
loggerhead sea turtle,loggerhead sea turtles,3
loggerhead sea turtle,loggerhead sea turtle,2
loggerhead turtle,loggerhead turtle,3
loggerhead turtle,loggerhead turtles,3
loggerhead turtle,Loggerhead Turtles,1
macaque,macaques,2
macaque,macaque,1
marine turtle,marine turtle,1
marine turtle,marine turtles,1
northern bald ibis,Northern Bald Ibis,2
northern bald ibis,northern bald ibis,1
pelagic stingray,pelagic stingray,2
pelagic stingray,Pelagic Stingray,1
sea turtle,sea turtles,8
sea turtle,sea turtle,5
shark,shark,2
shark,sharks,1
snake,snake,2
snake,Snake,1
spinner dolphin,spinner dolphin,1
spinner dolphin,spinner dolphins,1
turtle,turtles,2
turtle,turtle,1
whale,whale,1
whale,whales,1
