damage_estimate,evidence_base
17-25%,title_abstract
minimum annual mortality of 11%,title_abstract
4-6% of the local breeding population of Cory´s shearwater Calonectris diomedea may be killed annually,title_abstract
"annual total catch of marine turtles by Sll and Bll was estimated by applying catch rates, R (turtle/fishing trip), to the total fishing effort, H (number of trips), for the whole longline fleet operating in the zone of Zarzis.",full_text
3421 to 4028 turtle deaths annually,title_abstract
43.75%,title_abstract
"7,164",full_text
"7,819 vulture deaths recorded across 26 countries",full_text
minimum and maximum approximate estimate of the total number of individuals killed illegally per year in the country,full_text
minimum annual mortality of 11%,title_abstract
182±55/year,title_abstract
many cows,full_text
"60% local decrease since 2012 in the abundance of emblematic fish species, such as dusky groupers Epinephelus marginatus, brown meagres Sciaena umbra, or white seabreams Diplodus sargus",title_abstract
"The losses by birds were estimated to be 4.79 and 4.64% in orchards nearby poultry farms and those nearby field crops, respectively.",title_abstract
44 birds,title_abstract
about 88% (22 individuals),title_abstract
about 50%,full_text
monetary costs,full_text
The losses caused by the rodents were calculated for each training/feds and then transferred financially.,full_text
"0.084 MSB fatality/ turbine/ season, 0.166 Passerine/ turbine/season",title_abstract
9.50%,title_abstract
"35,533.3$",title_abstract
"9.2 ± 7.66%, 8.4 ± 5.16%, and 3.9 ± 1.71% for Ghars, Deglet-Nour, and Degla-Beida, respectively.",title_abstract
"huge damage to the crops of dates, olives and cereals",full_text
EUR 6315 ± 2620 per vessel in Crete and EUR 258 ± 120 in the Ionian Sea,title_abstract
US$179.52 per mending event,title_abstract
tens of thousands,title_abstract
up to EUR 600 per month,title_abstract
declines in both catches and sizes of target species over the past 10 years,title_abstract
"approximately 450 annual events, resulting in an estimated 40 mortalities",title_abstract
134 hyenas (32.1% of all hyenas recorded),title_abstract
total (n = 46) and fatal (n = 19),full_text
