mitigation,evidence_base
An integrated bird risk management system has been followed and implemented in airports...,title_abstract
Djobs traditional water storage system (mobilizing and storing surface water),title_abstract
Flexible Turtle Excluder Device (TED),title_abstract
"Mechanical and chemical control using fine net and three pesticides (Methomyl, Zinc pho...",title_abstract
"Nature-Based Solutions (NbSs), on the other hand, are increasingly recognized for addre...",title_abstract
New technologies that can mitigate the bycatch of vulnerable species,title_abstract
Swordfish buoy gear as an alternative to pelagic driftnets,title_abstract
"Toxic strychnine hydrochloride, trapping, pouring water into the tunnels, Calcium phosp...",title_abstract
"Zinc phosphide formulations (A, B, and C) applied to wheat crop",title_abstract
"acoustic devices (pingers, AHDs, ADDs)",full_text
artificial reefs,title_abstract
banning new gear and attractive bait,title_abstract
"bird netting (the ground net), scarer, and corn dolly",title_abstract
conservation code of conduct,title_abstract
culling campaigns,title_abstract
dog vaccination programme,full_text
"establishment of Ifrane National Park, anti-poaching campaigns, and reduced grazing pre...",title_abstract
extermination/killing campaigns,title_abstract
fenced enclosure,full_text
improved mitigation strategies in high‐risk areas of the Mediterranean Sea,title_abstract
no-take fishery reserves,title_abstract
prioritizing mitigation measures on relatively few pylons,title_abstract
"prohibiting ocean activities (e.g., swimming and surfing) in their habitats; selectivel...",title_abstract
"recommend to harvest tomato crops in the pink stage and left it until ripe, and avoid r...",title_abstract
reducing juvenile mortality,full_text
"stricter regulations on fishing practices, including size limits and seasonal closures",full_text
"targeted actions, including shielding or eliminating lights visible from the beach, usi...",title_abstract
vaccination (dogs and cats),full_text
voluntary dolphin-viewing recommendations,title_abstract
