scientific,common,Tunisia,Algeria,Morocco,Libya,Egypt,total
Caretta caretta,loggerhead turtle,19,5,3,5,5,37
Macaca sylvanus,Barbary macaque,1,5,11,0,0,17
Sus scrofa,wild boar,1,0,3,1,1,6
Hyaena hyaena,striped hyaena,1,1,1,1,1,5
Gazella dorcas,dorcas gazelle,1,1,1,0,0,3
Ammotragus lervia,aoudad,1,1,0,0,0,2
Canis aureus,golden jackal,0,0,1,0,0,1
Monachus monachus,Mediterranean monk seal,1,0,0,0,0,1
Canis lupaster,African wolf,0,0,0,0,0,0
Hystrix cristata,crested porcupine,0,0,0,0,0,0
Vulpes zerda,fennec fox,0,0,0,0,0,0
