scientific,common,conflict_context,studies
Canis lupaster,African wolf,livestock depredation,0
Hystrix cristata,crested porcupine,crop damage,0
Vulpes zerda,fennec fox,"persecution, trade",0
Ammotragus lervia,aoudad,"hunting, competition",1
Canis aureus,golden jackal,livestock depredation,1
Hyaena hyaena,striped hyaena,"livestock depredation, persecution",1
Monachus monachus,Mediterranean monk seal,fisheries interaction,1
Gazella dorcas,dorcas gazelle,"hunting, competition",2
Sus scrofa,wild boar,crop damage,7
Macaca sylvanus,Barbary macaque,"crop damage, tourism conflict",13
Caretta caretta,loggerhead turtle,fisheries bycatch,29
