field,n,n_stated,pct_stated,n_positive,pct_absence,grounding,self_consist,self_strict,n_final,n_xmodel,cross_model,kind,min_measure,reliable,untestable
damage_metric_reported,260,202,77.7,90,55.4,0.967,0.946,0.946,189,52,0.481,enum,0.481,FALSE,FALSE
compensation_scheme_discussed,260,140,53.8,4,97.1,1,0.986,0.986,138,52,0.519,enum,0.519,FALSE,FALSE
study_design,260,183,70.4,183,0,0.951,0.847,0.847,146,52,0.577,enum,0.577,FALSE,FALSE
subnational_region,260,136,52.3,136,0,0.956,0.956,0.926,124,52,0.654,free_text,0.654,FALSE,FALSE
species_scientific,260,126,48.5,126,0,0.937,0.944,0.913,113,52,0.692,free_text,0.692,FALSE,FALSE
mitigation_tested,260,103,39.6,38,63.1,1,1,1,103,52,0.731,enum,0.731,TRUE,FALSE
conflict_type,260,154,59.2,154,0,0.974,0.922,0.922,138,52,0.75,enum,0.75,TRUE,FALSE
mitigation_outcome_measured,260,91,35,28,69.2,0.964,0.989,0.989,89,52,0.75,enum,0.75,TRUE,FALSE
mitigation_type,260,44,16.9,44,0,0.977,0.75,0.727,32,52,0.846,free_text,0.75,TRUE,FALSE
outcome_direction,260,68,26.2,24,64.7,1,0.956,0.956,65,52,0.769,enum,0.769,TRUE,FALSE
species_common,260,201,77.3,201,0,0.95,0.955,0.891,184,52,0.788,free_text,0.788,TRUE,FALSE
stakeholder_engagement,260,51,19.6,49,3.9,0.959,0.922,0.922,45,52,0.788,enum,0.788,TRUE,FALSE
taxonomic_class,260,228,87.7,228,0,0.93,0.965,0.965,206,52,0.808,enum,0.808,TRUE,FALSE
damage_estimate,260,40,15.4,40,0,0.95,0.825,0.75,32,52,0.885,free_text,0.825,TRUE,FALSE
country,260,160,61.5,160,0,0.95,0.981,0.981,150,52,0.827,enum,0.827,TRUE,FALSE
marine_terrestrial,260,229,88.1,229,0,0.948,0.961,0.961,209,52,0.827,enum,0.827,TRUE,FALSE
years_of_data,260,123,47.3,123,0,0.976,0.927,0.894,112,52,0.827,free_text,0.827,TRUE,FALSE
sample_size,260,91,35,91,0,0.989,0.934,0.802,85,52,0.885,free_text,0.885,TRUE,FALSE
funding_source,260,9,3.5,9,0,1,0.889,0.778,8,52,0.981,free_text,0.889,TRUE,FALSE
