field,n,grounded,consistent
compensation_scheme_discussed,140,0.043,0.986
mitigation_outcome_measured,91,0.308,0.989
outcome_direction,68,0.353,0.88
mitigation_tested,103,0.388,1.0
damage_metric_reported,202,0.589,0.946
stakeholder_engagement,51,0.922,0.922
taxonomic_class,228,0.93,0.965
species_scientific,126,0.937,0.944
marine_terrestrial,229,0.948,0.961
country,160,0.95,0.981
damage_estimate,40,0.95,0.825
species_common,201,0.95,0.955
study_design,183,0.951,0.847
subnational_region,136,0.956,0.956
conflict_type,154,0.974,0.922
years_of_data,123,0.976,0.927
mitigation_type,44,0.977,0.75
sample_size,91,0.989,0.934
funding_source,9,1.0,0.889
